[worker] config = WorkerConfig{broker='tcp://localhost:1883', clientId='snr-spike-java-96350', topics=[benchmark/#], qos=1, db='/private/tmp/snr-spike-a-jar.db', batch=500, flush=200ms}
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::load has been called by mx.rafex.ether.sqlite.jni.SqliteLibraryJni in an unnamed module (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/ether-sqlite-mqtt-worker-spike-0.1.0-SNAPSHOT-fat.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by io.netty.util.internal.PlatformDependent0$4 (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/ether-sqlite-mqtt-worker-spike-0.1.0-SNAPSHOT-fat.jar)
WARNING: Please consider reporting this to the maintainers of class io.netty.util.internal.PlatformDependent0$4
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[worker] MQTT connected — startup=234ms
[worker] subscribed → benchmark/#
[metrics] elapsed=2s committed=7746 batches=3457 errors=0 dropped=0 qDepth=0 tps=3873/s last_commit=0ms max_commit=8ms
[metrics] elapsed=4s committed=28792 batches=11277 errors=0 dropped=0 qDepth=0 tps=7198/s last_commit=0ms max_commit=13ms
[metrics] elapsed=6s committed=53330 batches=18721 errors=0 dropped=0 qDepth=0 tps=8888/s last_commit=0ms max_commit=13ms
[metrics] elapsed=8s committed=65616 batches=22593 errors=0 dropped=0 qDepth=0 tps=8202/s last_commit=0ms max_commit=13ms
[metrics] elapsed=10s committed=65616 batches=22593 errors=0 dropped=0 qDepth=0 tps=6562/s last_commit=0ms max_commit=13ms
[metrics] elapsed=12s committed=65616 batches=22593 errors=0 dropped=0 qDepth=0 tps=5468/s last_commit=0ms max_commit=13ms
[metrics] elapsed=14s committed=65616 batches=22593 errors=0 dropped=0 qDepth=0 tps=4687/s last_commit=0ms max_commit=13ms
[metrics] elapsed=16s committed=65616 batches=22593 errors=0 dropped=0 qDepth=0 tps=4101/s last_commit=0ms max_commit=13ms
[metrics] elapsed=18s committed=65616 batches=22593 errors=0 dropped=0 qDepth=0 tps=3645/s last_commit=0ms max_commit=13ms
[metrics] elapsed=20s committed=65616 batches=22593 errors=0 dropped=0 qDepth=0 tps=3281/s last_commit=0ms max_commit=13ms
[metrics] elapsed=22s committed=65616 batches=22593 errors=0 dropped=0 qDepth=0 tps=2983/s last_commit=0ms max_commit=13ms
[metrics] elapsed=24s committed=65672 batches=22632 errors=0 dropped=0 qDepth=0 tps=2736/s last_commit=0ms max_commit=13ms
[metrics] elapsed=26s committed=82958 batches=24889 errors=0 dropped=0 qDepth=0 tps=3191/s last_commit=0ms max_commit=226ms
[metrics] elapsed=28s committed=101800 batches=32520 errors=0 dropped=0 qDepth=22 tps=3636/s last_commit=0ms max_commit=226ms
[metrics] elapsed=30s committed=120184 batches=38680 errors=0 dropped=0 qDepth=1 tps=4006/s last_commit=0ms max_commit=226ms
[metrics] elapsed=32s committed=131207 batches=41410 errors=0 dropped=0 qDepth=0 tps=4100/s last_commit=0ms max_commit=226ms
[metrics] elapsed=34s committed=131207 batches=41410 errors=0 dropped=0 qDepth=0 tps=3859/s last_commit=0ms max_commit=226ms
[metrics] elapsed=36s committed=131207 batches=41410 errors=0 dropped=0 qDepth=0 tps=3645/s last_commit=0ms max_commit=226ms
[metrics] elapsed=38s committed=131207 batches=41410 errors=0 dropped=0 qDepth=0 tps=3453/s last_commit=0ms max_commit=226ms
[metrics] elapsed=40s committed=131207 batches=41410 errors=0 dropped=0 qDepth=0 tps=3280/s last_commit=0ms max_commit=226ms
[metrics] elapsed=42s committed=131207 batches=41410 errors=0 dropped=0 qDepth=0 tps=3124/s last_commit=0ms max_commit=226ms
[metrics] elapsed=44s committed=131207 batches=41410 errors=0 dropped=0 qDepth=0 tps=2982/s last_commit=0ms max_commit=226ms
[metrics] elapsed=46s committed=131207 batches=41410 errors=0 dropped=0 qDepth=0 tps=2852/s last_commit=0ms max_commit=226ms
[metrics] elapsed=48s committed=132164 batches=41515 errors=0 dropped=0 qDepth=5846 tps=2753/s last_commit=294ms max_commit=294ms
[metrics] elapsed=50s committed=149664 batches=41550 errors=0 dropped=7928 qDepth=1934 tps=2993/s last_commit=22ms max_commit=294ms
[metrics] elapsed=52s committed=172016 batches=48143 errors=0 dropped=7928 qDepth=8 tps=3308/s last_commit=7ms max_commit=294ms
[metrics] elapsed=54s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=3498/s last_commit=0ms max_commit=294ms
[metrics] elapsed=56s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=3373/s last_commit=0ms max_commit=294ms
[metrics] elapsed=58s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=3256/s last_commit=0ms max_commit=294ms
[metrics] elapsed=60s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=3148/s last_commit=0ms max_commit=294ms
[metrics] elapsed=62s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=3046/s last_commit=0ms max_commit=294ms
[metrics] elapsed=64s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2951/s last_commit=0ms max_commit=294ms
[metrics] elapsed=66s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2862/s last_commit=0ms max_commit=294ms
[metrics] elapsed=68s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2778/s last_commit=0ms max_commit=294ms
[metrics] elapsed=70s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2698/s last_commit=0ms max_commit=294ms
[metrics] elapsed=72s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2623/s last_commit=0ms max_commit=294ms
[metrics] elapsed=74s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2552/s last_commit=0ms max_commit=294ms
[metrics] elapsed=76s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2485/s last_commit=0ms max_commit=294ms
[metrics] elapsed=78s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2421/s last_commit=0ms max_commit=294ms
[metrics] elapsed=80s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2361/s last_commit=0ms max_commit=294ms
[metrics] elapsed=82s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2303/s last_commit=0ms max_commit=294ms
[metrics] elapsed=84s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2249/s last_commit=0ms max_commit=294ms
[metrics] elapsed=86s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2196/s last_commit=0ms max_commit=294ms
[metrics] elapsed=88s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2146/s last_commit=0ms max_commit=294ms
[metrics] elapsed=90s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2099/s last_commit=0ms max_commit=294ms
[metrics] elapsed=92s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2053/s last_commit=0ms max_commit=294ms
[metrics] elapsed=94s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=2009/s last_commit=0ms max_commit=294ms
[metrics] elapsed=96s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1967/s last_commit=0ms max_commit=294ms
[metrics] elapsed=98s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1927/s last_commit=0ms max_commit=294ms
[metrics] elapsed=100s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1889/s last_commit=0ms max_commit=294ms
[metrics] elapsed=102s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1852/s last_commit=0ms max_commit=294ms
[metrics] elapsed=104s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1816/s last_commit=0ms max_commit=294ms
[metrics] elapsed=106s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1782/s last_commit=0ms max_commit=294ms
[metrics] elapsed=108s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1749/s last_commit=0ms max_commit=294ms
[metrics] elapsed=110s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1717/s last_commit=0ms max_commit=294ms
[metrics] elapsed=112s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1686/s last_commit=0ms max_commit=294ms
[metrics] elapsed=114s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1657/s last_commit=0ms max_commit=294ms
[metrics] elapsed=116s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1628/s last_commit=0ms max_commit=294ms
[metrics] elapsed=118s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1601/s last_commit=0ms max_commit=294ms
[metrics] elapsed=120s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1574/s last_commit=0ms max_commit=294ms
[metrics] elapsed=122s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1548/s last_commit=0ms max_commit=294ms
[metrics] elapsed=124s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1523/s last_commit=0ms max_commit=294ms
[metrics] elapsed=126s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1499/s last_commit=0ms max_commit=294ms
[metrics] elapsed=128s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1476/s last_commit=0ms max_commit=294ms
[metrics] elapsed=130s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1453/s last_commit=0ms max_commit=294ms
[metrics] elapsed=132s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1431/s last_commit=0ms max_commit=294ms
[metrics] elapsed=134s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1410/s last_commit=0ms max_commit=294ms
[metrics] elapsed=136s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1389/s last_commit=0ms max_commit=294ms
[metrics] elapsed=138s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1369/s last_commit=0ms max_commit=294ms
[metrics] elapsed=140s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1349/s last_commit=0ms max_commit=294ms
[metrics] elapsed=142s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1330/s last_commit=0ms max_commit=294ms
[metrics] elapsed=144s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1312/s last_commit=0ms max_commit=294ms
[metrics] elapsed=146s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1294/s last_commit=0ms max_commit=294ms
[metrics] elapsed=148s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1276/s last_commit=0ms max_commit=294ms
[metrics] elapsed=150s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1259/s last_commit=0ms max_commit=294ms
[metrics] elapsed=152s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1243/s last_commit=0ms max_commit=294ms
[metrics] elapsed=154s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1226/s last_commit=0ms max_commit=294ms
[metrics] elapsed=156s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1211/s last_commit=0ms max_commit=294ms
[metrics] elapsed=158s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1195/s last_commit=0ms max_commit=294ms
[metrics] elapsed=160s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1180/s last_commit=0ms max_commit=294ms
[metrics] elapsed=162s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1166/s last_commit=0ms max_commit=294ms
[metrics] elapsed=164s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1152/s last_commit=0ms max_commit=294ms
[metrics] elapsed=166s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1138/s last_commit=0ms max_commit=294ms
[metrics] elapsed=168s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1124/s last_commit=0ms max_commit=294ms
[metrics] elapsed=170s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1111/s last_commit=0ms max_commit=294ms
[metrics] elapsed=172s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1098/s last_commit=0ms max_commit=294ms
[metrics] elapsed=174s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1085/s last_commit=0ms max_commit=294ms
[metrics] elapsed=176s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1073/s last_commit=0ms max_commit=294ms
[metrics] elapsed=178s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1061/s last_commit=0ms max_commit=294ms
[metrics] elapsed=180s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1049/s last_commit=0ms max_commit=294ms
[metrics] elapsed=182s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1038/s last_commit=0ms max_commit=294ms
