[worker] config = WorkerConfig{broker='tcp://localhost:1883', clientId='snr-spike-java-80960', topics=[benchmark/#], qos=1, db='/private/tmp/snr-spike-spike-b-native.db', batch=500, flush=200ms}
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::load has been called by mx.rafex.ether.sqlite.jni.SqliteLibraryJni in an unnamed module (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/snr-mqtt-worker)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::getLong has been called by io.netty.util.internal.PlatformDependent0$4 (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/snr-mqtt-worker)
WARNING: Please consider reporting this to the maintainers of class io.netty.util.internal.PlatformDependent0$4
WARNING: sun.misc.Unsafe::getLong will be removed in a future release
[worker] MQTT connected — startup=25ms
[worker] subscribed → benchmark/#
[metrics] elapsed=2s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=4s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=6s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=8s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=10s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=12s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=14s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=16s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=18s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=20s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=22s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=24s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=26s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=28s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=30s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=32s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=34s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=36s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=38s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=40s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=42s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=44s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=46s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=48s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=50s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=52s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=54s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=56s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=58s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=60s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=62s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=64s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=66s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=68s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=70s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=72s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=74s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=76s committed=0 batches=0 errors=0 dropped=0 qDepth=0 tps=0/s last_commit=0ms max_commit=0ms
[metrics] elapsed=78s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=13/s last_commit=0ms max_commit=7ms
[metrics] elapsed=80s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=13/s last_commit=0ms max_commit=7ms
[metrics] elapsed=82s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=12/s last_commit=0ms max_commit=7ms
[metrics] elapsed=83s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=12/s last_commit=0ms max_commit=7ms
[metrics] elapsed=85s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=12/s last_commit=0ms max_commit=7ms
[metrics] elapsed=87s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=11/s last_commit=0ms max_commit=7ms
[metrics] elapsed=89s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=11/s last_commit=0ms max_commit=7ms
[metrics] elapsed=91s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=11/s last_commit=0ms max_commit=7ms
[metrics] elapsed=93s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=11/s last_commit=0ms max_commit=7ms
[metrics] elapsed=95s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=11/s last_commit=0ms max_commit=7ms
[metrics] elapsed=97s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=10/s last_commit=0ms max_commit=7ms
[metrics] elapsed=99s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=10/s last_commit=0ms max_commit=7ms
[metrics] elapsed=101s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=10/s last_commit=0ms max_commit=7ms
[metrics] elapsed=103s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=10/s last_commit=0ms max_commit=7ms
[metrics] elapsed=105s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=10/s last_commit=0ms max_commit=7ms
[metrics] elapsed=107s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=9/s last_commit=0ms max_commit=7ms
[metrics] elapsed=109s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=9/s last_commit=0ms max_commit=7ms
[metrics] elapsed=111s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=9/s last_commit=0ms max_commit=7ms
[metrics] elapsed=113s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=9/s last_commit=0ms max_commit=7ms
[metrics] elapsed=115s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=9/s last_commit=0ms max_commit=7ms
[metrics] elapsed=117s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=9/s last_commit=0ms max_commit=7ms
[metrics] elapsed=119s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=8/s last_commit=0ms max_commit=7ms
[metrics] elapsed=121s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=8/s last_commit=0ms max_commit=7ms
[metrics] elapsed=123s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=8/s last_commit=0ms max_commit=7ms
[metrics] elapsed=125s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=8/s last_commit=0ms max_commit=7ms
[metrics] elapsed=127s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=8/s last_commit=0ms max_commit=7ms
[metrics] elapsed=129s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=8/s last_commit=0ms max_commit=7ms
[metrics] elapsed=131s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=8/s last_commit=0ms max_commit=7ms
[metrics] elapsed=133s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=8/s last_commit=0ms max_commit=7ms
[metrics] elapsed=135s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=7/s last_commit=0ms max_commit=7ms
[metrics] elapsed=137s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=7/s last_commit=0ms max_commit=7ms
[metrics] elapsed=139s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=7/s last_commit=0ms max_commit=7ms
[metrics] elapsed=141s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=7/s last_commit=0ms max_commit=7ms
[metrics] elapsed=143s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=7/s last_commit=0ms max_commit=7ms
[metrics] elapsed=145s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=7/s last_commit=0ms max_commit=7ms
[metrics] elapsed=147s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=7/s last_commit=0ms max_commit=7ms
[metrics] elapsed=149s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=7/s last_commit=0ms max_commit=7ms
[metrics] elapsed=151s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=7/s last_commit=0ms max_commit=7ms
[metrics] elapsed=153s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=7/s last_commit=0ms max_commit=7ms
[metrics] elapsed=155s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=6/s last_commit=0ms max_commit=7ms
[metrics] elapsed=157s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=6/s last_commit=0ms max_commit=7ms
[metrics] elapsed=159s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=6/s last_commit=0ms max_commit=7ms
[metrics] elapsed=161s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=6/s last_commit=0ms max_commit=7ms
[metrics] elapsed=163s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=6/s last_commit=0ms max_commit=7ms
[metrics] elapsed=165s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=6/s last_commit=0ms max_commit=7ms
[metrics] elapsed=167s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=6/s last_commit=0ms max_commit=7ms
[metrics] elapsed=169s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=6/s last_commit=0ms max_commit=7ms
[metrics] elapsed=171s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=6/s last_commit=0ms max_commit=7ms
[metrics] elapsed=173s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=6/s last_commit=0ms max_commit=7ms
[metrics] elapsed=175s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=6/s last_commit=0ms max_commit=7ms
[metrics] elapsed=177s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=6/s last_commit=0ms max_commit=7ms
[metrics] elapsed=179s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=6/s last_commit=0ms max_commit=7ms
[metrics] elapsed=181s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=6/s last_commit=0ms max_commit=7ms
[metrics] elapsed=183s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=185s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=187s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=189s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=191s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=193s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=195s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=197s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=199s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=201s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=203s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=205s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=207s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=209s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=211s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=213s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=215s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=217s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=219s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=221s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=7ms
[metrics] elapsed=223s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=225s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=227s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=229s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=231s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=233s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=235s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=237s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=239s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=241s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=243s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=245s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=247s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=249s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=251s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=253s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=255s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=257s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=259s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=261s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=263s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=265s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=267s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=269s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=271s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=273s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=275s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=277s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=279s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=281s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=283s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=285s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=7ms
[metrics] elapsed=287s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=289s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=291s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=293s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=295s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=297s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=299s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=301s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=303s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=305s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=307s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=309s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=311s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=313s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=315s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=317s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=319s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=321s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=323s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=325s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=327s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=329s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=331s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=333s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=335s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=337s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=339s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=341s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=343s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=345s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=347s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=349s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=351s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=353s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=355s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=357s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=359s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=361s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=363s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=365s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=367s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=369s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=371s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=373s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=375s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=377s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=379s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=381s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=383s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=385s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=387s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=389s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=391s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=393s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=395s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=397s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=399s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=7ms
[metrics] elapsed=401s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=2/s last_commit=0ms max_commit=7ms
[metrics] elapsed=403s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=2/s last_commit=0ms max_commit=7ms
[metrics] elapsed=405s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=2/s last_commit=0ms max_commit=7ms
[metrics] elapsed=407s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=2/s last_commit=0ms max_commit=7ms
[metrics] elapsed=409s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=2/s last_commit=0ms max_commit=7ms
[metrics] elapsed=411s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=2/s last_commit=0ms max_commit=7ms
[metrics] elapsed=413s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=2/s last_commit=0ms max_commit=7ms
[worker] shutdown: flushing buffer...
[metrics] ===== FINAL =====
[metrics] elapsed=415s committed=1000 batches=195 errors=0 dropped=0 qDepth=0 tps=2/s last_commit=0ms max_commit=7ms
[worker] binary_size_check: run 'ls -lh /Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/snr-mqtt-worker'
