[worker] config = WorkerConfig{broker='tcp://localhost:1883', clientId='snr-spike-java-96488', topics=[benchmark/#], qos=1, db='/private/tmp/snr-spike-b-native.db', batch=500, flush=200ms}
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::load has been called by mx.rafex.ether.sqlite.jni.SqliteLibraryJni in an unnamed module (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/snr-mqtt-worker)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::getLong has been called by io.netty.util.internal.PlatformDependent0$4 (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/snr-mqtt-worker)
WARNING: Please consider reporting this to the maintainers of class io.netty.util.internal.PlatformDependent0$4
WARNING: sun.misc.Unsafe::getLong will be removed in a future release
[worker] MQTT connected — startup=54ms
[worker] subscribed → benchmark/#
[metrics] elapsed=2s committed=9552 batches=4649 errors=0 dropped=0 qDepth=15 tps=4776/s last_commit=0ms max_commit=7ms
[metrics] elapsed=4s committed=29135 batches=12708 errors=0 dropped=0 qDepth=29 tps=7284/s last_commit=0ms max_commit=15ms
[metrics] elapsed=6s committed=47378 batches=19108 errors=0 dropped=0 qDepth=0 tps=7896/s last_commit=0ms max_commit=15ms
[metrics] elapsed=8s committed=65591 batches=25712 errors=0 dropped=0 qDepth=0 tps=8199/s last_commit=0ms max_commit=15ms
[metrics] elapsed=10s committed=65591 batches=25712 errors=0 dropped=0 qDepth=0 tps=6559/s last_commit=0ms max_commit=15ms
[metrics] elapsed=12s committed=65591 batches=25712 errors=0 dropped=0 qDepth=0 tps=5466/s last_commit=0ms max_commit=15ms
[metrics] elapsed=14s committed=65591 batches=25712 errors=0 dropped=0 qDepth=0 tps=4685/s last_commit=0ms max_commit=15ms
[metrics] elapsed=16s committed=65591 batches=25712 errors=0 dropped=0 qDepth=0 tps=4099/s last_commit=0ms max_commit=15ms
[metrics] elapsed=18s committed=65591 batches=25712 errors=0 dropped=0 qDepth=0 tps=3644/s last_commit=0ms max_commit=15ms
[metrics] elapsed=20s committed=65591 batches=25712 errors=0 dropped=0 qDepth=0 tps=3280/s last_commit=0ms max_commit=15ms
[metrics] elapsed=22s committed=65591 batches=25712 errors=0 dropped=0 qDepth=0 tps=2981/s last_commit=0ms max_commit=15ms
[metrics] elapsed=24s committed=65671 batches=25789 errors=0 dropped=0 qDepth=0 tps=2736/s last_commit=0ms max_commit=15ms
[metrics] elapsed=26s committed=86661 batches=30305 errors=0 dropped=0 qDepth=0 tps=3333/s last_commit=0ms max_commit=178ms
[metrics] elapsed=28s committed=106898 batches=38110 errors=0 dropped=0 qDepth=1 tps=3818/s last_commit=1ms max_commit=178ms
[metrics] elapsed=30s committed=127883 batches=45044 errors=0 dropped=0 qDepth=1 tps=4263/s last_commit=0ms max_commit=178ms
[metrics] elapsed=32s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=4100/s last_commit=0ms max_commit=178ms
[metrics] elapsed=34s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=3858/s last_commit=0ms max_commit=178ms
[metrics] elapsed=36s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=3644/s last_commit=0ms max_commit=178ms
[metrics] elapsed=38s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=3452/s last_commit=0ms max_commit=178ms
[metrics] elapsed=40s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=3280/s last_commit=0ms max_commit=178ms
[metrics] elapsed=42s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=3123/s last_commit=0ms max_commit=178ms
[metrics] elapsed=44s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=2982/s last_commit=0ms max_commit=178ms
[metrics] elapsed=46s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=2852/s last_commit=0ms max_commit=178ms
[metrics] elapsed=48s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=2733/s last_commit=0ms max_commit=178ms
[metrics] elapsed=50s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=2624/s last_commit=0ms max_commit=178ms
[metrics] elapsed=52s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=2523/s last_commit=0ms max_commit=178ms
[metrics] elapsed=54s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=2429/s last_commit=0ms max_commit=178ms
[metrics] elapsed=56s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=2343/s last_commit=0ms max_commit=178ms
[metrics] elapsed=58s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=2262/s last_commit=0ms max_commit=178ms
[metrics] elapsed=60s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=2186/s last_commit=0ms max_commit=178ms
[metrics] elapsed=62s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=2116/s last_commit=0ms max_commit=178ms
[metrics] elapsed=64s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=2050/s last_commit=0ms max_commit=178ms
[metrics] elapsed=66s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1988/s last_commit=0ms max_commit=178ms
[metrics] elapsed=68s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1929/s last_commit=0ms max_commit=178ms
[metrics] elapsed=70s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1874/s last_commit=0ms max_commit=178ms
[metrics] elapsed=72s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1822/s last_commit=0ms max_commit=178ms
[metrics] elapsed=74s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1773/s last_commit=0ms max_commit=178ms
[metrics] elapsed=76s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1726/s last_commit=0ms max_commit=178ms
[metrics] elapsed=78s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1682/s last_commit=0ms max_commit=178ms
[metrics] elapsed=80s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1640/s last_commit=0ms max_commit=178ms
[metrics] elapsed=82s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1600/s last_commit=0ms max_commit=178ms
[metrics] elapsed=84s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1562/s last_commit=0ms max_commit=178ms
[metrics] elapsed=86s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1525/s last_commit=0ms max_commit=178ms
[metrics] elapsed=88s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1491/s last_commit=0ms max_commit=178ms
[metrics] elapsed=90s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1458/s last_commit=0ms max_commit=178ms
[metrics] elapsed=92s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1426/s last_commit=0ms max_commit=178ms
[metrics] elapsed=94s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1396/s last_commit=0ms max_commit=178ms
[metrics] elapsed=96s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1367/s last_commit=0ms max_commit=178ms
[metrics] elapsed=98s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1339/s last_commit=0ms max_commit=178ms
[metrics] elapsed=100s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1312/s last_commit=0ms max_commit=178ms
[metrics] elapsed=102s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1286/s last_commit=0ms max_commit=178ms
[metrics] elapsed=104s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1261/s last_commit=0ms max_commit=178ms
[metrics] elapsed=106s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1238/s last_commit=0ms max_commit=178ms
[metrics] elapsed=108s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1215/s last_commit=0ms max_commit=178ms
[metrics] elapsed=110s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1193/s last_commit=0ms max_commit=178ms
[metrics] elapsed=112s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1171/s last_commit=0ms max_commit=178ms
[metrics] elapsed=114s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1151/s last_commit=0ms max_commit=178ms
[metrics] elapsed=116s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1131/s last_commit=0ms max_commit=178ms
[metrics] elapsed=118s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1112/s last_commit=0ms max_commit=178ms
[metrics] elapsed=120s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1093/s last_commit=0ms max_commit=178ms
[metrics] elapsed=122s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1075/s last_commit=0ms max_commit=178ms
[metrics] elapsed=124s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1058/s last_commit=0ms max_commit=178ms
[metrics] elapsed=126s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1041/s last_commit=0ms max_commit=178ms
[metrics] elapsed=128s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1025/s last_commit=0ms max_commit=178ms
[metrics] elapsed=130s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=1009/s last_commit=0ms max_commit=178ms
[metrics] elapsed=132s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=994/s last_commit=0ms max_commit=178ms
[metrics] elapsed=134s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=979/s last_commit=0ms max_commit=178ms
[metrics] elapsed=136s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=965/s last_commit=0ms max_commit=178ms
[metrics] elapsed=138s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=951/s last_commit=0ms max_commit=178ms
[metrics] elapsed=140s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=937/s last_commit=0ms max_commit=178ms
[metrics] elapsed=142s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=924/s last_commit=0ms max_commit=178ms
[metrics] elapsed=144s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=911/s last_commit=0ms max_commit=178ms
[metrics] elapsed=146s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=899/s last_commit=0ms max_commit=178ms
[metrics] elapsed=148s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=886/s last_commit=0ms max_commit=178ms
[metrics] elapsed=150s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=875/s last_commit=0ms max_commit=178ms
[metrics] elapsed=152s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=863/s last_commit=0ms max_commit=178ms
[metrics] elapsed=154s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=852/s last_commit=0ms max_commit=178ms
[metrics] elapsed=156s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=841/s last_commit=0ms max_commit=178ms
[metrics] elapsed=158s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=830/s last_commit=0ms max_commit=178ms
[metrics] elapsed=160s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=820/s last_commit=0ms max_commit=178ms
[metrics] elapsed=162s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=810/s last_commit=0ms max_commit=178ms
[metrics] elapsed=164s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=800/s last_commit=0ms max_commit=178ms
[metrics] elapsed=166s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=790/s last_commit=0ms max_commit=178ms
[metrics] elapsed=168s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=781/s last_commit=0ms max_commit=178ms
[metrics] elapsed=170s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=772/s last_commit=0ms max_commit=178ms
[metrics] elapsed=172s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=763/s last_commit=0ms max_commit=178ms
[metrics] elapsed=174s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=754/s last_commit=0ms max_commit=178ms
[metrics] elapsed=176s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=745/s last_commit=0ms max_commit=178ms
[metrics] elapsed=178s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=737/s last_commit=0ms max_commit=178ms
[metrics] elapsed=180s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=729/s last_commit=0ms max_commit=178ms
[metrics] elapsed=182s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=721/s last_commit=0ms max_commit=178ms
[metrics] elapsed=184s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=713/s last_commit=0ms max_commit=178ms
[metrics] elapsed=186s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=705/s last_commit=0ms max_commit=178ms
[metrics] elapsed=188s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=698/s last_commit=0ms max_commit=178ms
[metrics] elapsed=190s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=690/s last_commit=0ms max_commit=178ms
[metrics] elapsed=192s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=683/s last_commit=0ms max_commit=178ms
[metrics] elapsed=194s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=676/s last_commit=0ms max_commit=178ms
[metrics] elapsed=196s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=669/s last_commit=0ms max_commit=178ms
[metrics] elapsed=198s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=663/s last_commit=0ms max_commit=178ms
[metrics] elapsed=200s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=656/s last_commit=0ms max_commit=178ms
[metrics] elapsed=202s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=649/s last_commit=0ms max_commit=178ms
[metrics] elapsed=204s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=643/s last_commit=0ms max_commit=178ms
[metrics] elapsed=206s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=637/s last_commit=0ms max_commit=178ms
[metrics] elapsed=208s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=631/s last_commit=0ms max_commit=178ms
[metrics] elapsed=210s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=625/s last_commit=0ms max_commit=178ms
[metrics] elapsed=212s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=619/s last_commit=0ms max_commit=178ms
[metrics] elapsed=214s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=613/s last_commit=0ms max_commit=178ms
[metrics] elapsed=216s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=607/s last_commit=0ms max_commit=178ms
[metrics] elapsed=218s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=602/s last_commit=0ms max_commit=178ms
[metrics] elapsed=220s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=596/s last_commit=0ms max_commit=178ms
[metrics] elapsed=222s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=591/s last_commit=0ms max_commit=178ms
[metrics] elapsed=224s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=586/s last_commit=0ms max_commit=178ms
[metrics] elapsed=226s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=580/s last_commit=0ms max_commit=178ms
[metrics] elapsed=228s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=575/s last_commit=0ms max_commit=178ms
[metrics] elapsed=230s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=570/s last_commit=0ms max_commit=178ms
[metrics] elapsed=232s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=565/s last_commit=0ms max_commit=178ms
[metrics] elapsed=234s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=561/s last_commit=0ms max_commit=178ms
[metrics] elapsed=236s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=556/s last_commit=0ms max_commit=178ms
[metrics] elapsed=238s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=551/s last_commit=0ms max_commit=178ms
[metrics] elapsed=240s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=547/s last_commit=0ms max_commit=178ms
[metrics] elapsed=242s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=542/s last_commit=0ms max_commit=178ms
[metrics] elapsed=244s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=538/s last_commit=0ms max_commit=178ms
[metrics] elapsed=246s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=533/s last_commit=0ms max_commit=178ms
[metrics] elapsed=248s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=529/s last_commit=0ms max_commit=178ms
[metrics] elapsed=250s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=525/s last_commit=0ms max_commit=178ms
[metrics] elapsed=252s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=521/s last_commit=0ms max_commit=178ms
[metrics] elapsed=254s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=516/s last_commit=0ms max_commit=178ms
[metrics] elapsed=256s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=512/s last_commit=0ms max_commit=178ms
[metrics] elapsed=258s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=508/s last_commit=0ms max_commit=178ms
[metrics] elapsed=260s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=505/s last_commit=0ms max_commit=178ms
[metrics] elapsed=262s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=501/s last_commit=0ms max_commit=178ms
[metrics] elapsed=264s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=497/s last_commit=0ms max_commit=178ms
[metrics] elapsed=266s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=493/s last_commit=0ms max_commit=178ms
[metrics] elapsed=268s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=490/s last_commit=0ms max_commit=178ms
[metrics] elapsed=270s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=486/s last_commit=0ms max_commit=178ms
[metrics] elapsed=272s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=482/s last_commit=0ms max_commit=178ms
[metrics] elapsed=274s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=479/s last_commit=0ms max_commit=178ms
[metrics] elapsed=276s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=475/s last_commit=0ms max_commit=178ms
[metrics] elapsed=278s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=472/s last_commit=0ms max_commit=178ms
[metrics] elapsed=280s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=469/s last_commit=0ms max_commit=178ms
[metrics] elapsed=282s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=465/s last_commit=0ms max_commit=178ms
[metrics] elapsed=284s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=462/s last_commit=0ms max_commit=178ms
[metrics] elapsed=286s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=459/s last_commit=0ms max_commit=178ms
[metrics] elapsed=288s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=456/s last_commit=0ms max_commit=178ms
[metrics] elapsed=290s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=452/s last_commit=0ms max_commit=178ms
[metrics] elapsed=292s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=449/s last_commit=0ms max_commit=178ms
[metrics] elapsed=294s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=446/s last_commit=0ms max_commit=178ms
[metrics] elapsed=296s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=443/s last_commit=0ms max_commit=178ms
[metrics] elapsed=298s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=440/s last_commit=0ms max_commit=178ms
[metrics] elapsed=300s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=437/s last_commit=0ms max_commit=178ms
[metrics] elapsed=302s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=434/s last_commit=0ms max_commit=178ms
[metrics] elapsed=304s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=432/s last_commit=0ms max_commit=178ms
[metrics] elapsed=306s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=429/s last_commit=0ms max_commit=178ms
[metrics] elapsed=308s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=426/s last_commit=0ms max_commit=178ms
[metrics] elapsed=310s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=423/s last_commit=0ms max_commit=178ms
[metrics] elapsed=312s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=420/s last_commit=0ms max_commit=178ms
[metrics] elapsed=314s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=418/s last_commit=0ms max_commit=178ms
[metrics] elapsed=316s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=415/s last_commit=0ms max_commit=178ms
[metrics] elapsed=318s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=413/s last_commit=0ms max_commit=178ms
[metrics] elapsed=320s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=410/s last_commit=0ms max_commit=178ms
[metrics] elapsed=322s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=407/s last_commit=0ms max_commit=178ms
[metrics] elapsed=324s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=405/s last_commit=0ms max_commit=178ms
[metrics] elapsed=326s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=402/s last_commit=0ms max_commit=178ms
[metrics] elapsed=328s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=400/s last_commit=0ms max_commit=178ms
[metrics] elapsed=330s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=398/s last_commit=0ms max_commit=178ms
[metrics] elapsed=332s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=395/s last_commit=0ms max_commit=178ms
[metrics] elapsed=334s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=393/s last_commit=0ms max_commit=178ms
[metrics] elapsed=336s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=390/s last_commit=0ms max_commit=178ms
[metrics] elapsed=338s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=388/s last_commit=0ms max_commit=178ms
[metrics] elapsed=340s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=386/s last_commit=0ms max_commit=178ms
[metrics] elapsed=342s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=384/s last_commit=0ms max_commit=178ms
[metrics] elapsed=344s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=381/s last_commit=0ms max_commit=178ms
[metrics] elapsed=346s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=379/s last_commit=0ms max_commit=178ms
[metrics] elapsed=348s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=377/s last_commit=0ms max_commit=178ms
[metrics] elapsed=350s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=375/s last_commit=0ms max_commit=178ms
[metrics] elapsed=352s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=373/s last_commit=0ms max_commit=178ms
[metrics] elapsed=354s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=371/s last_commit=0ms max_commit=178ms
[metrics] elapsed=356s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=369/s last_commit=0ms max_commit=178ms
[metrics] elapsed=358s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=366/s last_commit=0ms max_commit=178ms
[metrics] elapsed=360s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=364/s last_commit=0ms max_commit=178ms
[metrics] elapsed=362s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=362/s last_commit=0ms max_commit=178ms
[metrics] elapsed=364s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=360/s last_commit=0ms max_commit=178ms
[metrics] elapsed=366s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=358/s last_commit=0ms max_commit=178ms
[metrics] elapsed=368s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=356/s last_commit=0ms max_commit=178ms
[metrics] elapsed=370s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=355/s last_commit=0ms max_commit=178ms
[metrics] elapsed=372s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=353/s last_commit=0ms max_commit=178ms
[metrics] elapsed=374s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=351/s last_commit=0ms max_commit=178ms
[metrics] elapsed=376s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=349/s last_commit=0ms max_commit=178ms
[metrics] elapsed=378s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=347/s last_commit=0ms max_commit=178ms
[metrics] elapsed=380s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=345/s last_commit=0ms max_commit=178ms
[metrics] elapsed=382s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=343/s last_commit=0ms max_commit=178ms
[metrics] elapsed=384s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=342/s last_commit=0ms max_commit=178ms
[metrics] elapsed=386s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=340/s last_commit=0ms max_commit=178ms
[metrics] elapsed=388s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=338/s last_commit=0ms max_commit=178ms
[metrics] elapsed=390s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=336/s last_commit=0ms max_commit=178ms
[metrics] elapsed=392s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=335/s last_commit=0ms max_commit=178ms
[metrics] elapsed=394s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=333/s last_commit=0ms max_commit=178ms
[metrics] elapsed=396s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=331/s last_commit=0ms max_commit=178ms
[metrics] elapsed=398s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=330/s last_commit=0ms max_commit=178ms
[metrics] elapsed=400s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=328/s last_commit=0ms max_commit=178ms
[metrics] elapsed=402s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=326/s last_commit=0ms max_commit=178ms
[metrics] elapsed=404s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=325/s last_commit=0ms max_commit=178ms
[metrics] elapsed=406s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=323/s last_commit=0ms max_commit=178ms
[metrics] elapsed=408s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=322/s last_commit=0ms max_commit=178ms
[metrics] elapsed=410s committed=131186 batches=46142 errors=0 dropped=0 qDepth=0 tps=320/s last_commit=0ms max_commit=178ms
