[worker] config = Config { broker_host: "localhost", broker_port: 1883, client_id: "snr-spike-rust-96545", topics: ["benchmark/#"], qos: 1, sqlite_db: "/private/tmp/snr-spike-c-rust.db", batch_size: 500, flush_ms: 200 }
[worker] MQTT connected — startup=0ms topics=["benchmark/#"]
[worker] reconnected to broker
[inserter] committed=22 batches=20 tps=68/s commit=0ms
[inserter] committed=42 batches=40 tps=78/s commit=0ms
[inserter] committed=62 batches=60 tps=81/s commit=0ms
[inserter] committed=83 batches=80 tps=84/s commit=0ms
[inserter] committed=107 batches=100 tps=98/s commit=0ms
[inserter] committed=163 batches=120 tps=149/s commit=0ms
[inserter] committed=202 batches=140 tps=184/s commit=0ms
[inserter] committed=250 batches=160 tps=227/s commit=0ms
[inserter] committed=309 batches=180 tps=280/s commit=0ms
[inserter] committed=373 batches=200 tps=337/s commit=0ms
[inserter] committed=437 batches=220 tps=394/s commit=0ms
[inserter] committed=493 batches=240 tps=441/s commit=1ms
[inserter] committed=555 batches=260 tps=495/s commit=0ms
[inserter] committed=757 batches=280 tps=668/s commit=0ms
[inserter] committed=778 batches=300 tps=684/s commit=0ms
[inserter] committed=817 batches=320 tps=718/s commit=0ms
[inserter] committed=841 batches=340 tps=738/s commit=0ms
[inserter] committed=867 batches=360 tps=758/s commit=0ms
[inserter] committed=896 batches=380 tps=782/s commit=0ms
[inserter] committed=920 batches=400 tps=802/s commit=0ms
[inserter] committed=943 batches=420 tps=821/s commit=0ms
[inserter] committed=967 batches=440 tps=840/s commit=0ms
[inserter] committed=994 batches=460 tps=862/s commit=0ms
[inserter] committed=1023 batches=480 tps=886/s commit=0ms
[inserter] committed=1048 batches=500 tps=906/s commit=0ms
[inserter] committed=1069 batches=520 tps=922/s commit=0ms
[inserter] committed=1091 batches=540 tps=937/s commit=2ms
[inserter] committed=1137 batches=560 tps=975/s commit=0ms
[inserter] committed=1170 batches=580 tps=1001/s commit=0ms
[inserter] committed=1202 batches=600 tps=1026/s commit=0ms
[inserter] committed=1224 batches=620 tps=1044/s commit=0ms
[inserter] committed=1256 batches=640 tps=1067/s commit=0ms
[inserter] committed=1286 batches=660 tps=1090/s commit=0ms
[inserter] committed=1313 batches=680 tps=1111/s commit=0ms
[inserter] committed=1338 batches=700 tps=1131/s commit=0ms
[inserter] committed=1374 batches=720 tps=1159/s commit=0ms
[inserter] committed=1398 batches=740 tps=1177/s commit=0ms
[inserter] committed=1432 batches=760 tps=1204/s commit=0ms
[inserter] committed=1460 batches=780 tps=1226/s commit=0ms
[inserter] committed=1503 batches=800 tps=1257/s commit=0ms
[inserter] committed=1524 batches=820 tps=1273/s commit=0ms
[inserter] committed=1546 batches=840 tps=1290/s commit=0ms
[inserter] committed=1585 batches=860 tps=1319/s commit=0ms
[inserter] committed=1608 batches=880 tps=1336/s commit=0ms
[inserter] committed=1643 batches=900 tps=1363/s commit=0ms
[inserter] committed=1668 batches=920 tps=1381/s commit=0ms
[inserter] committed=1692 batches=940 tps=1398/s commit=0ms
[inserter] committed=1713 batches=960 tps=1414/s commit=0ms
